Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
sel2_SRR5819794.trim_1P	35.00157783524763	47.0	97.90373136539165	9.090909090909092	2497906.0
sel2_SRR5819794.trim_1U	23.122403830965382	48.0	88.73953992942717	0.0	423109.0
sel2_SRR5819794.trim_2P	19.774239246922804	43.0	94.70031538416578	0.0	2497906.0
sel2_SRR5819794.trim_2U	15.747939439995335	44.0	83.99590810779213	0.0	17107.0
sel2_SRR5819795.trim_1P	42.55976309003774	46.0	94.42900605110569	0.0	1487662.0
sel2_SRR5819795.trim_1U	20.858283433133735	44.0	77.99462613235069	9.090909090909092	13026.0
sel2_SRR5819795.trim_2P	34.90477375110291	40.0	98.05921506363677	0.0	1487662.0
sel2_SRR5819795.trim_2U	14.039312945806344	41.0	88.30767811756989	0.0	97576.0
sel2_SRR5819796.trim_1P	59.36362348694032	50.0	91.16543189185278	9.090909090909092	262531.0
sel2_SRR5819796.trim_1U	46.438527537259766	50.0	94.6450742240216	18.181818181818183	101517.0
sel2_SRR5819796.trim_2P	59.73305923817861	46.0	84.87779347962717	9.090909090909092	262531.0
sel2_SRR5819796.trim_2U	35.784413829937634	48.0	89.98928666802809	0.0	63659.0
sel2_SRR5819797.trim_1P	34.48667570563886	42.0	94.0666966342642	0.0	462722.0
sel2_SRR5819797.trim_1U	26.541856626383804	45.0	88.29714752853931	0.0	171255.0
sel2_SRR5819797.trim_2P	29.913534672967742	42.0	94.5616071853078	0.0	462722.0
sel2_SRR5819797.trim_2U	20.934313335981997	42.0	92.83108197589723	9.090909090909092	60408.0
sel2_SRR5819798.trim_1P	43.449758420747244	50.0	92.21882900530748	0.0	358362.0
sel2_SRR5819798.trim_1U	33.245096633599616	50.0	93.04710799964099	0.0	155982.0
sel2_SRR5819798.trim_2P	40.315986640593984	48.0	83.67767787879295	0.0	358362.0
sel2_SRR5819798.trim_2U	25.675507924028622	50.0	92.56592322864512	0.0	72501.0
sel2_SRR5819799.trim_1P	54.346305691779015	50.0	91.99622866216752	9.090909090909092	392964.0
sel2_SRR5819799.trim_1U	41.43748098570125	49.0	93.66472467295407	0.0	131480.0
sel2_SRR5819799.trim_2P	49.86788802573449	47.0	85.47311204079763	0.0	392964.0
sel2_SRR5819799.trim_2U	33.503529915139424	49.0	89.6622691292876	0.0	70115.0
