Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
sel2_SRR1719013.trim_1P	sel2_SRR1719013.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97134.0	0.0	36-100	44.0	32.26676549920728	98.03562089484629	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
sel2_SRR1719013.trim_1U	sel2_SRR1719013.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6226.0	0.0	36-100	43.0	73.578541599743	83.21169290073884	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
sel2_SRR1719013.trim_2P	sel2_SRR1719013.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97134.0	0.0	36-100	43.0	36.06049375090082	96.42988037144563	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
sel2_SRR1719013.trim_2U	sel2_SRR1719013.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	581.0	0.0	36-100	40.0	77.4526678141136	81.96557659208261	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
sel2_SRR1719014.trim_1P	sel2_SRR1719014.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110562.0	0.0	36-100	44.0	33.595629601490565	97.98142218845534	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
sel2_SRR1719014.trim_1U	sel2_SRR1719014.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8821.0	0.0	36-100	41.0	66.80648452556399	81.99750595170616	pass	pass	fail	pass	fail	fail	pass	warn	warn	fail	pass
sel2_SRR1719014.trim_2P	sel2_SRR1719014.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110562.0	0.0	36-100	43.0	37.61238038385702	96.23073026898935	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
sel2_SRR1719014.trim_2U	sel2_SRR1719014.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	700.0	0.0	36-100	42.0	83.0	80.32571428571428	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
sel2_SRR1719015.trim_1P	sel2_SRR1719015.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	129541.0	0.0	36-100	43.0	29.007032522521826	98.0947190464795	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
sel2_SRR1719015.trim_1U	sel2_SRR1719015.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7924.0	0.0	36-100	43.0	73.14487632508833	82.82811711256942	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
sel2_SRR1719015.trim_2P	sel2_SRR1719015.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	129541.0	0.0	36-100	43.0	32.145035162612615	96.56283338865687	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
sel2_SRR1719015.trim_2U	sel2_SRR1719015.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	831.0	0.0	36-100	40.0	74.72924187725631	82.32731648616125	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
sel2_SRR1719016.trim_1P	sel2_SRR1719016.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	122798.0	0.0	36-100	45.0	37.96397335461489	98.14174497955993	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
sel2_SRR1719016.trim_1U	sel2_SRR1719016.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8176.0	0.0	36-100	45.0	79.63551859099805	82.63772015655577	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
sel2_SRR1719016.trim_2P	sel2_SRR1719016.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	122798.0	0.0	36-100	44.0	42.08130425576964	96.25379892180655	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
sel2_SRR1719016.trim_2U	sel2_SRR1719016.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	678.0	0.0	36-100	42.0	87.02064896755162	78.90855457227138	pass	pass	fail	pass	warn	fail	pass	warn	pass	fail	pass
sel2_SRR1719017.trim_1P	sel2_SRR1719017.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107169.0	0.0	36-100	45.0	35.471078390206124	98.0669409997294	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
sel2_SRR1719017.trim_1U	sel2_SRR1719017.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6747.0	0.0	36-100	45.0	78.22736030828517	83.0099303394101	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
sel2_SRR1719017.trim_2P	sel2_SRR1719017.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107169.0	0.0	36-100	44.0	39.12698634866426	96.36872603084848	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
sel2_SRR1719017.trim_2U	sel2_SRR1719017.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	692.0	0.0	36-100	43.0	85.83815028901735	79.32080924855491	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
sel2_SRR1719018.trim_1P	sel2_SRR1719018.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	146789.0	0.0	36-100	44.0	31.97514800155325	98.0427552473278	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
sel2_SRR1719018.trim_1U	sel2_SRR1719018.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24349.0	0.0	36-100	45.0	65.07043410406999	91.66815885662656	pass	pass	fail	pass	fail	fail	pass	warn	warn	warn	pass
sel2_SRR1719018.trim_2P	sel2_SRR1719018.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	146789.0	0.0	36-98	44.0	37.27527267029546	94.14877136570179	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
