Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
sel2_SRR1719013.trim_1P	67.73323450079272	44.0	98.03562089484629	27.27272727272727	97134.0
sel2_SRR1719013.trim_1U	26.421458400256995	43.0	83.21169290073884	36.36363636363637	6226.0
sel2_SRR1719013.trim_2P	63.93950624909918	43.0	96.42988037144563	27.27272727272727	97134.0
sel2_SRR1719013.trim_2U	22.547332185886404	40.0	81.96557659208261	36.36363636363637	581.0
sel2_SRR1719014.trim_1P	66.40437039850943	44.0	97.98142218845534	27.27272727272727	110562.0
sel2_SRR1719014.trim_1U	33.19351547443601	41.0	81.99750595170616	36.36363636363637	8821.0
sel2_SRR1719014.trim_2P	62.38761961614298	43.0	96.23073026898935	27.27272727272727	110562.0
sel2_SRR1719014.trim_2U	17.0	42.0	80.32571428571428	36.36363636363637	700.0
sel2_SRR1719015.trim_1P	70.99296747747817	43.0	98.0947190464795	27.27272727272727	129541.0
sel2_SRR1719015.trim_1U	26.855123674911667	43.0	82.82811711256942	36.36363636363637	7924.0
sel2_SRR1719015.trim_2P	67.85496483738739	43.0	96.56283338865687	18.181818181818183	129541.0
sel2_SRR1719015.trim_2U	25.270758122743686	40.0	82.32731648616125	36.36363636363637	831.0
sel2_SRR1719016.trim_1P	62.03602664538511	45.0	98.14174497955993	27.27272727272727	122798.0
sel2_SRR1719016.trim_1U	20.364481409001954	45.0	82.63772015655577	36.36363636363637	8176.0
sel2_SRR1719016.trim_2P	57.91869574423036	44.0	96.25379892180655	18.181818181818183	122798.0
sel2_SRR1719016.trim_2U	12.979351032448378	42.0	78.90855457227138	27.27272727272727	678.0
sel2_SRR1719017.trim_1P	64.52892160979388	45.0	98.0669409997294	27.27272727272727	107169.0
sel2_SRR1719017.trim_1U	21.77263969171483	45.0	83.0099303394101	36.36363636363637	6747.0
sel2_SRR1719017.trim_2P	60.87301365133574	44.0	96.36872603084848	18.181818181818183	107169.0
sel2_SRR1719017.trim_2U	14.16184971098265	43.0	79.32080924855491	36.36363636363637	692.0
sel2_SRR1719018.trim_1P	68.02485199844675	44.0	98.0427552473278	27.27272727272727	146789.0
sel2_SRR1719018.trim_1U	34.92956589593001	45.0	91.66815885662656	27.27272727272727	24349.0
sel2_SRR1719018.trim_2P	62.72472732970454	44.0	94.14877136570179	27.27272727272727	146789.0
sel2_SRR1719018.trim_2U	15.730337078651687	43.0	78.42022471910113	36.36363636363637	890.0
sel2_SRR1719204.trim_1P	69.48547923227255	44.0	98.05106804236327	27.27272727272727	117177.0
sel2_SRR1719204.trim_1U	39.45926752561631	43.0	91.80572182205539	36.36363636363637	19714.0
sel2_SRR1719204.trim_2P	64.09534294272767	43.0	93.96048712631318	27.27272727272727	117177.0
sel2_SRR1719204.trim_2U	13.8268156424581	43.0	81.22346368715084	36.36363636363637	716.0
